Question,Answer,Class
What is the GST rate on Hair Rubber Bands?,Hair rubber bands fall under heading 4016 and attract 28% GST.,rates
What is HS code and GST rate for Khari and hard Butters?,Khari and hard butters fall under heading 1905 and attract 18% GST.,rates
What is the GST rate and HSN code of Khoya/Mawa?,Khoya / mawa being concentrated milk falls under 0402 and attracts 5% GST.,rates
What will be the GST rate for printed paperboard mono carton/Dabbi of a pharmaceutical company and what will be the GST rate for a non-corrugated carton and corrugated carton?,"Cartons, boxes and cases of corrugated paper or paper board, fall under heading 4819 and attract 12% GST.  2. Folding cartons, boxes and cases, of non-corrugated paper and paperboard, falling under heading 4819 attract 18% GST under the residual entry S. No. 453.",rates
Tobacco leaves falling under heading 2401 attracts 5% GST on reverse charge basis in respect of supply by an agriculturist. What is the meaning of tobacco leaves?,"KhFor GST rate of 5%, tobacco leaves means leaves of tobacco as such or broken tobacco leaves or tobacco leaves stems.",rates
What is the HS code and the GST rate for Isabgol seeds?,Isabgol seeds fall under heading 1211. ,rates
What is the HS code and the GST rate for Isabgol husk?,Isabgol husk falls under 1211 and attracts 5% GST.,rates
What is HS code and GST rate of copra and dried coconut?,"Coconuts, fresh or dried, whether or not shelled or peeled fall under heading 0801 and attract Nil GST. As per the HSN Explanatory Notes, the heading excludes copra, the dried flesh of coconut used for the expression of coconut oil (1203).",rates
Footwear having a retail sale price not exceeding Rs.500 per pair [provided that such retail sale price is indelibly marked or embossed on the footwear itself] attracts 5% GST. Does the retail sale price referred to above include the GST?,"As per the Legal Metrology (Packaged Commodities) Rules, 2011, retail sale price [RSP] means the maximum price at which the commodity in packaged form may be sold to the consumer and is inclusive of all taxes. ",rates
Readymade garments of sale value not exceeding Rs. 1000 per piece attract 5% GST.  Readymade garments of sale value exceeding Rs. 1000 per piece attract 12% GST.  How does a supplier determine what rate to charge on readymade garments?,The sale value referred to in the said entries refers to the transaction value and not the retail sale price of such readymade garments. ,rates
What is the GST rate on chocolate ‘sandesh’ Bengali misti?,"Sandesh, whether or not containing chocolate, attract 5% GST.",rates
How will imports be taxed under GST?,imports will be deemed as inter-State supplies for the purposes of levy of GST. IGST is leviable on imports in addition to other duties of customs. Full set-off will be available as ITC of the IGST paid on import on goods and services.,handicrafts
How will exports be treated under GST?,exports will be deemed as inter-State supplies. Exports of goods and services will be treated as zero rated supplies. The exporter has the option either to export under bond/Letter of Undertaking without payment of tax and claim refund of ITC or pay IGST by utilizing ITC or in cash at the time of export and claim refund of IGST paid.,handicrafts
How can IGST be paid?,IGST can be paid by utilizing ITC to the extent available and balance by cash. The use of ITC for payment of IGST will be done in the following order:,handicrafts
What are the provisions for refund of taxes for exporters in GST ?,"relating to refund are contained in section 54 of the CGST Act, 2017. It provides for refund of tax paid on zero-rated supplies of goods or services  or on inputs or input services used in making such zero-rated supplies, or refund of tax on the supply of goods regarded as deemed exports, or refund of unutilized input tax credit. Identical provisions exist under the IGST Act, 2017 and relevant SGST/UTGST Acts.",handicrafts
Can unutilized input tax credit be allowed as refund to exporters?," Section 54(3) of the CGST Act, 2017 provides for refund of any unutilised input tax credit of inputs and input services at the end of any tax period except where ",handicrafts
What is the procedure for claiming refund by exporters?,"can be claimed by filing an application electronically in prescribed form along with required documents through the Common Portal, either directly or through a Facilitation Centre notified by the Commissioner. The refundable amount shall be electronically credited to any of the bank accounts of the applicant mentioned in his registration particulars and as specified in the application for refund. For details Chapter X of the CGST Rules, 2017 relating to refund may be referred to.  In case of refund of IGST, the shipping bill filed with the Customs is treated as an application for refund if the exporter has filed a valid return in Form GSTR-3/3B and the person in-charge of the conveyance carrying the goods to be exported has furnished an export manifest/report. Upon receipt of information regarding furnishing of a valid return in FORM GSTR-3 or FORM GSTR-3B by the exporter from the Common Portal, the Customs authorities at the port of export shall process the claim for refund and an amount equal to the integrated tax paid in respect of each shipping bill shall be electronically credited to the bank account of the exporter.",handicrafts
What is the time limit for grant of refund?,"amount shall be sanctioned within 60 days from the date of receipt of application complete in all respects. However, as a measure of facilitation to exporters, except for certain notified categories, ninety per cent of the amount excluding the amount of input tax credit provisionally accepted will be refunded provisionally within seven days from the date of acknowledgement.",handicrafts
Will the principle of unjust enrichment apply to exports?,principle of unjust enrichment is not applicable in case of exports of goods or services as the recipient is located outside the taxable territory.,handicrafts
Today under VAT/CST merchant exporters can purchase goods without payment of tax on furnishing of a declaration form. Will this system be there in GST?,there is no such provision in GST. Tax will be payable on their inward supplies and they can claim refund of the accumulated ITC.,handicrafts
Whether goods sent by a taxable person to a job worker be treated as supply and will they be liable to GST?,"the goods sent by a registered person to a job worker is not a supply, as there is no transfer of title and no consideration for the goods is involved. In terms of section 143 of the CGST Act, 2017 a registered taxable person (the principal), after following the prescribed procedure, may send any inputs or capital goods, without payment of GST, to a job worker for job work and the principal shall either ",handicrafts
Is a job worker required to take registration?,"job work is a service, it would be considered a supply and the job worker would be required to obtain registration if his aggregate turnover exceeds the prescribed threshold of Rs.20 lakhs or, as the case may be, Rs.10 Lakhs.",handicrafts
"Whether exemption from all duties of Customs be available on imports under exemption schemes such as EPCG, Advance licence etc under GST regime.","Exemption will be available only from Basic Customs Duty. IGST will be payable on such imports. However, the importer can avail ITC of IGST paid and utilise the same or claim refund in accordance with the provisions of the CGST Act, 2017 and rules made thereunder.",handicrafts
"Can duty credit scrips received as incentive by exporters such as MEIS, SEIS etc be utilised for payment of all duties at the time of import?",these scrips can be utilised only for payment of Basic Customs duty. IGST cannot be paid by utilising these scrips.,handicrafts
Will drawback at higher rate be available to handicraft exporters who do not avail Input Tax Credit (ITC) like presently available to those who do not avail CENVAT credit?,"There will be no difference in rate of Drawback for exporters not availing ITC in GST regime.  In GST regime, drawback will be admissible only at lower rate determined on the basis of customs duties paid on imported materials used in the manufacture of export goods. However, as an export facilitation measure, for the transition period of 3 months from July to September, 2017, drawback at higher composite rates will continue to be granted subject to the condition that no input tax credit of CGST/IGST is claimed, no refund of IGST paid on export goods is claimed and no CENVAT credit is carried forward.",handicrafts
Is GST payable on consideration received for sale of scrips?,Scrips are goods and sale of scrips has to be treated as supply of goods. GST at applicable rate will therefore be payable.,handicrafts
"Would GST be payable on goods not intended to be sold, taken out for participation in overseas exhibitions and trade fairs and brought back into India as these goods are meant for exhibition only ?","is not payable in such cases. Exporters will need exhibition participation letter and no foreign exchange involved letter from the concerned bank for the purpose of exchange control requirements. At the time of re-import, identity of goods imported with export goods needs to be established to seek exemption from import duty in accordance with Customs provisions.  IGST will be exempted at the time of re-import in view of exemptions granted under Customs.",handicrafts
Will an exporter be required to pay GST in case of goods procured from unregistered persons?,"case of supply by an unregistered person, the registered person i.e., exporter shall be liable to pay GST under reverse charge mechanism for purchases above five thousand rupees in a day. However the exporter can avail ITC of such GST paid and either utilise the ITC or claim refund of the same.",handicrafts
"Will credit of duties be available on inputs and inputs contained in semi-finished goods/finished goods lying in stock of an exporter who was not registered under existing laws, as on appointed day of GST?",provided the exporter was not liable to be registered under the existing law.,handicrafts
Can small mining leaseholders with a turnover less than Rs.75 lacs operate under composition scheme?,"per Sec. 10(1) of the CGST Act, 2017, a registered person whose aggregate turnover in the preceding FY did not exceed Rs.75 lakhs, would be eligible for paying GST under the composition scheme.",mining
What is the GST rate for minerals and ores in Composition Scheme?,"a case where the process amounts to manufacture, the rate of tax will be 1% (CGST) and 1% (SGST/UTGST).  In any other case, the rate will be ½% (CGST) and ½% (SGST/UTGST).",mining
Will they have to deposit GST under SGST / CGST heads separately?,GST has to be paid separately under CGST and SGST/UTGST by generating a single challan through the common portal under a single return.,mining
Can a small Mine Lease holder undertake inter-State supply if it avails composition scheme?,"If a supplier chooses to avail of composition scheme, he shall not undertake inter-State supply.",mining
What is the IGST rate for minerals and ores in case of inter – State supply?,"present, the IGST rate is the sum of CGST and SGST/ UTGST rate. These rates have been notified and are available in public domain.",mining
Can the buyer get input credit on the supply of minerals from a mine owner in composition scheme?,the buyer cannot avail of the credit of tax paid by the supplier who is under the composition scheme as the person paying tax under composition scheme cannot issue a tax invoice and collect taxes on his supplies.,mining
Will the recipient have to pay tax under reverse charge?,"on reverse charge mechanism is payable under section 9(4) of the CGST Act, 2017 only in case of purchases from unregistered suppliers.  As the mine owner who is paying tax under composition scheme is registered, the recipients need not pay GST on reverse charge mechanism.",mining
What is the threshold limit and conditions when a small mine owner/lease holder under Composition Scheme has to migrate into full GST System?,"per section 10(3) of the CGST Act, 2017, the option availed of by the small mine owner/lease holder shall lapse with effect from the day on which his aggregate turnover during a financial year exceeds Rs. 75 lakhs. For details regarding other conditions, section 10 of the CGST Act, 2017 and the rules framed thereunder may be referred to.",mining
Is the Return filing and compliance simpler under composition scheme?,Return filing and compliance is simpler under the composition scheme. The registered person has to file only one return on a quarterly basis in Form GSTR-4.,mining
Will the basic exemption limit from GST be applicable to the tiny & micro segment in mining?,"the basic exemption limit of Rs. 20 lakhs (Rs.10 lakhs in the case of special category States) is applicable to the tiny and micro segment even in mining. However, a person engaged in making taxable supply and having aggregate annual turnover (more than Rs.20 lakhs in any State other than the special category States) would be liable to obtain registration under GST. The return has to be filed on monthly basis by regular taxable persons and on quarterly basis by the taxable persons registered under the composition scheme.",mining
Is the Return filing and compliance simpler under composition scheme?,Return filing and compliance is simpler under the composition scheme. The registered person has to file only one return on a quarterly basis in Form GSTR-4.,mining
Will the basic exemption limit from GST be applicable to the tiny & micro segment in mining?,"the basic exemption limit of Rs. 20 lakhs (Rs.10 lakhs in the case of special category States) is applicable to the tiny and micro segment even in mining. However, a person engaged in making taxable supply and having aggregate annual turnover (more than Rs.20 lakhs in any State other than the special category States) would be liable to obtain registration under GST. The return has to be filed on monthly basis by regular taxable persons and on quarterly basis by the taxable persons registered under the composition scheme.",mining
What is aggregate turnover?,"per section 2(6) of the CGST Act, 2017, “aggregate turnover” means the aggregate value of all taxable supplies (excluding the value of inward supplies on which tax is payable by a person on reverse charge basis), exempt supplies, exports of goods or services or both and inter-State supplies of persons having the same Permanent Account Number, to be computed on all India basis but excludes Central tax, State tax, Union territory tax, integrated tax and compensation cess.",mining
Will the buyer of goods from unregistered person pay reverse tax?,"registered person receiving taxable goods or services from a supplier who is not registered, would be liable to pay GST under reverse charge mechanism. However, in terms of notification no. 8/2017-Central Tax (rate) dated 28th June, 2017, aggregate value of supplies of goods and/or service received by a registered person from any or all the suppliers, who is or are not registered, upto five thousand rupees in a day is exempt from tax under reverse charge mechanism. This exemption will not apply if the value exceeds Rs.5000/-.",mining
"Can a buyer of goods and services pay the value of services / goods to the supplier and deposit the GST component of the invoice in the supplier’s account so that when the buyer claims input credit, he may get the same cross entry tallied from the supplier’s account?",This option is not available under GST Law.,mining
"In case there are disputes regarding quality, weight, etc. between the buyer and the supplier and the goods are returned fully or partially, as found unfit for use, can the excess paid tax component be adjusted from future tax liability?","such cases, the supplier may issue a credit note to the recipient in accordance with the provisions of section 34(1) of the CGST Act, 2017.",mining
Whether deduction of Liquidity Damage (LD)/Penalty deduction from contractor’s bills and charging Penalty for non-lifting of coal till targeted minimum level to Annual Contractual Quantity (ACQ) will attract GST?,"it is a service being “tolerating an act” as per Schedule II of the CGST Act,2017 thus GST shall apply.",mining
Will GST be payable at the time of raising an invoice for supply of goods from a mining lease holder or it will be applicable on the amount of advance received by the mining company for booking the order?,"per the provisions of section 12(2) of the CGST Act, 2017 the time of supply of goods shall be the date of issue of invoice or the date of receipt of payment, whichever is earlier. Accordingly, GST would be payable on advance payment received prior to issuance of the invoice.",mining
Will the supplier have to issue “receipt voucher” against each advance received?,"as per section 31(3)(d) of the CGST Act, 2017 the supplier has to issue a “receipt voucher” for every advance received.",mining
How do I show the advance received in GSTR 1?,"against an advance the invoice is issued in the same tax period, the advance need not be shown separately in Form GSTR-1 but the specified details of invoice itself can be directly uploaded on the system.  Details of all advances against which the invoices have not been issued till the end of the tax period shall have to be reported on a consolidated basis in Table 11 of Form GSTR-1. As and when the invoices against these advances are issued, they have to be declared in Form GSTR-1 and the adjustment of the tax paid on advances against the tax payable on the invoices uploaded in Form GSTR-1 shall have to be done in Table 11 of Form GSTR-1.",mining
"In case no supplies are made against an advance, will the dealer have to issue a “refund voucher” only for the advance or for advance including GST?","voucher has to be made for the full value of advance, including the amount of GST.",mining
"It will be difficult to link between “Advance Receipt Voucher”  and invoices in case of sales billing on Cash Sale (Rail/Road)/e-Auction etc., especially in case of Rail Cash sale, where purchasers deposit money in advance to the tune of many crores for which lifting of coal has to be made from various loading point and time. In such situation how will the billing person at one point realize how much “balance advance” is available for adjustment while raising invoice at his end at a specific point of time?","GST gross amount of advance is to be reported and tax has to be paid. Advance can be adjusted in totality. While raising the invoice subsequent to receipt of advance, the tax payable will get reduced by the amount of tax paid on the advance and balance amount of advance may be adjusted against future supplies.",mining
"Will GST charged on purchase of all earth moving machinery including JCB, tippers, dumpers by a mining company be allowed as input credit?","provision of Sec. 17(5) (a) of the CGST Act, 2017 restricts credit on motor vehicle for specified purposes listed therein. Further, in terms of the provision of Section 2(76) of the CGST Act, 2017 the expression ‘motor vehicle’ shall have the same meaning as assigned to it in Clause (28) of Section 2 of the Motor Vehicle Act, 1988, which  does not include the mining equipment, viz., tippers, dumpers. Thus, as per present provisions, the GST charged on purchase of earth moving machinery including tippers, dumpers used for transportation of goods by a mining company will be allowed as input credit.",mining
Whether GST is payable on royalty (to be paid to Government) for Mining Lease granted by State Govt.,"on royalty GST will apply under reverse charge mechanism. Further, such payment of GST under reverse charge mechanism would be eligible as ITC in the hands of the recipient of supply for payment of GST.",mining
"Is ITC available on hiring of immovable properties (land, office, warehouse, processing unit, stock yards) for facilitation of mining operations?","GST paid on hiring of land, office, warehouse, processing unit, stock yards when these are used in the course or  furtherance of business, would be allowed as ITC.",mining
What is the time limit for availing input credit under GST?,"per provisions of Section 16(4) of the CGST Act, 2017 the ITC is not available after the due date of furnishing the return for the month of September of the next year or furnishing of the annual return, whichever is earlier.",mining
Would the net outstanding amount of unutilised input credit be refunded by the Government?,"terms of the provision of Section 54(3) of the CGST Act, 2017 subject to conditions, refund of unutilized input tax credit would be available in respect of zero rated supply or where ITC has accumulated on account of rate of tax on inputs being higher than the rate of tax on the output supply. However, such refund of ITC would not be available if export duty is payable on the goods so exported out of India.",mining
"Will GST charged by tax consultants, advocates, Chartered Accountants, environmental consultants, canteen service providers and other service providers to mining companies be allowed as input credit?","on any input service/ inputs used in the course or  furtherance of business would be available subject to restrictions and other conditions as per the provisions of Chapter-V of the CGST Act, 2017. However, tax paid in respect of canteen service providers shall not be available as credit.",mining
"Whether free issue of coal to employees paid in course of employment and on the basis of wage agreement with value below Rs. 50, 000/- per employee will attract GST?","not exceeding fifty thousand rupees in value in a financial year by an employer to an employee shall not be treated as supply of goods or services or both (as per Schedule 1 of the CGST Act, 2017). Free issue of coal based on the wage agreement is not a gift. Therefore, free issue of coal in this case will attract GST.",mining
Can GST charged as per transport bilti on movement of mineral from mine to the buyer be allowed as ITC to the buyer irrespective of the ownership of the transporting vehicle?,"case of an FOR contract for supply of mineral from the mine to the buyer, it is a composite supply where the consideration will be inclusive of the transportation cost. Therefore, GST on forward charge will be payable by the supplier of the mineral and credit will be available to the buyer if otherwise available. The supplier of the mineral will also pay tax on reverse charge basis on the freight charged by the GTA and the credit of the same will be available to the supplier of the mineral.  In case of an ex-works contract of supply, where the GTA service has been booked by the supplier at the instance of the buyer and the service is billed by the GTA to the buyer and the minerals are billed by the supplier of the mineral to the buyer, then GTA on reverse charge shall be paid by the buyer who shall be entitled to take credit of the same. The tax on the mineral will be paid on forward charge by the supplier of the mineral and credit will be available to the buyer if otherwise available.",mining
Will the situation as mentioned above be different if the value of mineral is less than the cost of freight in long distance consignments?,"the aforesaid example relating to FOR contract, the supply under the contract shall be classified as ‘composite supply’ where there is a principal supply and other supplies are naturally bundled and supplied in conjunction with each other in the ordinary course of business. The GST rate of principal supply shall be applicable in this case i.e. GST rate as applicable to the mineral.",mining
Exploration companies undertake exploration activities for preparing mining blocks for auction in different States in the country. They use rigs for exploration. CENVAT credit was available on rig operations under the existing law. Will the company be eligible to take ITC under GST?,"capitalized in the books of accounts as capital goods are used in the course or  furtherance of business. Hence, it will be eligible as capital goods and ITC will be available under GST.",mining
Will ITC be available for holding Environmental Clearance (EC) and Forestry Clearance (FC) meetings and for obtaining ‘consent to operate’ the Mines?,ITC on expenses incurred in the course or  furtherance of business shall be available.,mining
"Will the mining companies be eligible to take ITC for construction of townships, hospitals and schools?","Mining companies will not be eligible for ITC on such activities even if used in course or furtherance of business. In this connection, the provisions contained in section 17(5) (c) of the CGST Act, 2017 refer.",mining
Are minerals sent for export in processed or raw form fully exempted from payment of GST or IGST?,"terms of the provision of Section 16(1) of the IGST Act, 2017 export of goods is considered as zero rated supply. Further, in terms of the provision of Section 16(3) of the IGST Act, 2017 a registered person may export goods (i) without payment of IGST against bond/letter of undertaking and claim refund of unutilised ITC, or (ii) on payment of IGST, utilising eligible ITC and claim refund of such IGST.",mining
What is the procedure for return of goods under GST?,"terms of Section 34(1) of the CGST Act, 2017 in case of return of goods on which GST was paid at the time of supply, the supplier of such goods may issue a credit note for the full value, including the amount of GST in favour of the recipient, and will be entitled to reduce his output tax liability subject to the condition that the recipient of such supply has not availed credit of such GST and if availed, has reversed his ITC on the same.",mining
"How can we take support during filing of returns, as huge mines are located throughout the districts in the country, especially in rural and backward areas, and the problem will be aggravated as the huge number of mines are operating without any IT infrastructure?",may be filed from the central office of the Company which are usually located in areas with infrastructure required for filing such returns.,mining
"Whether GST TDS will be applicable on Works Contract Jobs (to be renamed as Supply of Services) in case of PSUs, since such GST TDS U/s 51 (1) of CGST Act. 2017 is applicable on: a) Dept. or establishment of the Central Govt. or State Govt.; or b) Local authority; or c) Govt. agencies; or d) Such persons or category of persons as may be notified by the Govt. on the recommendations of the Council.","under section 51 (1) of the CGST Act, 2017 will apply to supplies made to such agencies as may be mandated by the Government for TDS. As of now, this section has not been notified and therefore TDS is not applicable on any supplies.",mining
What is the requirement for E-way bill for companies operating in the sector?,"per rule 138 of the CGST Rules, 2017, till such time as final rules are issued, the Government may, by notification, specify the documents that the person in-charge of a conveyance shall carry while the goods are in movement or in transit storage. As and when the new e-way bill rules are notified, the person transporting the goods shall carry the said e-way bill generated from the common portal along with the invoice (challan in the case of movement other than by way of supply).",mining
Whether an Input Service Distributer (ISD) will be eligible to distribute the ITC in respect of services received during April 17 to June 17 even if the invoices are raised and submitted by contractors after appointed date i.e. in July 17.,"terms of section 140 (7) of the CGST Act, 2017 the ISD will be able to distribute the available credit even if the invoices are received after the appointed day.",mining
"In Table 5 (b) of GST-TRAN-1, the details of Form C, F and H/I are to be given for the period April 15 to June 17 (i.e. for 27 months) which would be a voluminous task. Reasons of furnishing the details for last 27 months may please be clarified?","cases where sales were covered by Forms C, F, H and I, the input tax credit has remained in the account of the taxpayer because the taxpayer has availed of the benefit of concessional rate/nil rate of tax on the sale/stock transfer under CST Act. The benefit of concessional rate/nil rate is available conditional upon production of the statutory forms. Therefore, allowing migration of the credit that has accrued on account of sale/stock transfer having been made on concessional rate/nil rate should be given only on production of the statutory forms. Even otherwise, the taxpayer would have claimed refund of this ITC and such refund would have been given only on production of the statutory forms. It has been presumed that forms for periods before April '15 would have either been presented or the State would have recovered the additional tax payable on account of non-production of statutory forms. Production of these forms is a statutory liability and the taxpayers have already availed the benefit.",mining
"Education Cess and S&H Education Cess carried forward in ER-1 – whether eligible for ITC under the CGST Act, 2017?",Credit of Education Cess and SH Education Cess cannot be carried forward.,mining
"What will happen to the balance available in the current account (PLA) under Central excise, deposited in cash in advance by any assesse?",in PLA will not be under transition to GST since that has not been appropriated to the Government account which will be determined post completion of the pending assessment. The same can be claimed as refund under the Central Excise Law.,mining
Whether credit of Green Cess (Clean Energy Cess) paid on coal and available at the time of transition be eligible for being carried over?,Credit of Clean Energy Cess cannot be carried forward on transition.,mining
Whether stock held by mining companies on which Clean Energy Cess has been paid be chargeable to compensation cess in GST regime?,Compensation cess will be charged on supply of such stock.,mining
Can supplies of coal under a particular order or under FSA (Fuel Supply Agreement) be eligible under the definition of ‘continuous supply of goods?,supplies are in the nature of continuous supply as the invoices are raised periodically. The individual dispatches may be covered under delivery challans and invoice may be issued for the supplies made during a period as per the contract.,mining
"In case of coal, the applicable Compensation Cess is a Fixed Amount of Rs.400/- per MT. Under above situation, how such apportionment is possible since in case of FSA Sale, supply of different grade of coal as per availability of stock against single bulk receipt of “Advance” is to be adjusted?","tax rate is not determinable, the tax rate may be determined and paid on the amount of advance at 18%.",mining
Whether Railway siding in mining industry exclusively utilized for effecting dispatch of taxable goods vz. coal (i.e. directly used in the course  or furtherance of business) will be treated as Plant and Machinery and ITC under GST will be allowed or treated as civil structure and ITC will be denied?,"will not be available as railway siding is not plant and machinery as defined in section 17 of the CGST Act, 2017.",mining
"According to HSN Code 2516 calcareous building stone comes under 5% tax rate, but simultaneously under HSN Code 6802 it comes under 28% tax rate. Clarity on the same may be provided by the Government.",68 covers value added articles of sandstone etc. which are further worked other than by way of roughly trimmed or merely cut into blocks or slabs.,mining
Whether supply of HSD free of cost for mining operation would attract GST and whether the input tax credit would be available for GST so charged by the Service provider?,"is outside GST and therefore, input tax credit would not be admissible.",mining
"Will ITC be available on steel, timber and sometimes cement which are used in the underground mines to provide a protective device for security purpose?","will not be available if these goods are supplied for construction of an immovable property. But if these are temporarily placed for protective purposes, credit will be available.",mining
"50 As per Section 54 (3), it is clear that no refund of ITC will be available for export in the cases where product is subject to export duty. Iron Ore export is subjected to export duty. In the earlier regime, the exporters were allowed to take refund of service tax paid on exports. Will not our exports become uncompetitive as no refund of ITC will be available?","refund of ITC credit is not admissible in view of the second proviso to section 54(3) of the CGST Act, 2017. ",mining
Whether formulations cleared have to be assessed to GST under transfer price mechanism or on the basis of MRP printed on them?,assessment of drugs and formulations under GST would be on the basis of transaction value at each level of supply with end to end ITC chain for neutralizing the GST paid at the procurement level.,drugs
What are the requirements for clearance of physician samples distributed free of cost?,"case of clearance of physician samples distributed free of cost, the ITC availed on the said samples has to be reversed in view of the provisions under Section 17(5)(h) of the CGST Act, 2017. No tax is payable on clearance of physician samples distributed free of cost as the value of supply is zero and no credit has been availed.",drugs
What is the procedure for movement of time expired medicines from the retail outlets to the manufacturer for destruction?,"such cases, the manufacturer may issue a credit note within the time specified in sub-section (2) of section 34 of the CGST Act, 2017 subject to the condition that the person returning the expired medicines reduces his ITC. Subsequently, when the time expired goods are destroyed, the manufacturer has to reverse his ITC on account of goods being destroyed. Where the goods are returned after the time limit specified in section 34(2) of the CGST Act, 2017, the registered person returning the goods shall issue a tax invoice, as it is a supply within the meaning of Section 7 of the CGST Act, 2017.",drugs
How loan and licensee units carry out their operations in GST regime?,"law does not have any special provision for loan and licensee units. Where the contract are in the nature of performance of job-work, these units can opt to follow the procedure laid down in section 143 of the CGST Act, 2017 i.e. the principal can send any inputs etc. to such units without payment of tax and the principal can clear the goods from the premises of such units if the principal declares these units as his additional place of business or where such units are themselves registered under section 25 of CGST Act, 2017.",drugs
What is the treatment of clearances effected to Special Economic Zones?,"clearances effected to the SEZ are zero rated supplies in terms of Section 16 of the IGST Act, 2017.  Accordingly, the supplier can claim refund of IGST paid on such supplies or clear the same under bond/ letter of undertaking and claim refund of the unutilised ITC.",drugs
Whether SEZ unit located in a State requires a separate registration under GST?,"SEZ unit located in a State is treated as a business vertical distinct from other units located in the State outside the SEZ [first proviso to Rule  8 of the  CGST Rules, 2017 read with Section 25 of the CGST Act, 2017].  Hence, separate registration is required to be obtained for the unit located in SEZ.",drugs
Whether ISD registration is required to be obtained separately?,"terms of second proviso to Rule  8 of the  CGST Rules, 2017 read with Section 25 of the GST Act, 2017, every person being an Input Service Distributor has to make a separate application for registration.",drugs
"What is the transitional credit that can be availed on the existing stocks held by a registered person under GST, who was not required to be registered under the existing law?","terms of Rule 117(4) of the CGST Rules, 2017 (transitional provisions) read with Section 140(3) of the CGST Act, 2017, a registered person who was not registered under the existing law and who is not in possession of any document evidencing payment of central excise duty in respect of the goods held in stock,  shall be allowed credit at the rate of sixty per cent on such goods which attract central tax at the rate of nine per cent or more and forty per cent for the other goods of the central tax applicable on supply of such goods after 01st July 2017 and the said amount shall be credited in the electronic credit ledger after the central tax payable on such supply has been paid. In case where integrated tax is paid, the amount of ITC would be at the rate of thirty per cent and twenty per cent respectively of integrtaed tax. This facility is available for a maximum period of 6 months from the appointed day (i.e. upto 31st December, 2017) or till the goods are sold out, whichever is earlier.",drugs
Whether a manufacturer can avail deemed credit in respect of transitional stocks on the appointed day in respect of the stocks for which duty paying document is not available?,"terms of the proviso to Section 140(3) of the CGST Act, 2017, the manufacturer is not eligible to avail deemed credit in respect of transitional stocks, for which duty paying document is not available. Such credit is not available in case of SGST except where VAT was payable on the basis of MRP.",drugs
Whether deemed credit is available in respect of goods purchased from tax free zones?,"deemed credit in terms of Rule 117(4) of the CGST Rules, 2017 (transitional provisions) read with Section 140(3) of the CGST Act, 2017 would be available in respect of the goods, which were not unconditionally exempt from the whole of the duty of excise specified in the First Schedule to the Central Excise Tariff Act, 1985 or  were not nil rated in the said Schedule.  As the goods purchased from tax free zones were exempted from duty payment under a Notification issued under Section 5 of the Central Excise Act, 1944 and not Nil rated in the First Schedule to the Central Excise Tariff Act, 1985, the deemed credit would be  available in respect of such goods held in stock on the appointed day.",drugs
What is the obligation cast on the Registered Person in case of purchases from Unregistered Person?,"terms of Section 9(4) of the CGST Act, 2017 read with Section 31(3) ibid, the Registered Person procuring the taxable supplies from an Unregistered Supplier has to raise invoice and pay GST on reverse charge basis in respect of such supplies.",drugs
What is the treatment of supplies made from erstwhile tax free zones?,"GST is a destination based consumption tax with seamless transfer of ITC credit, no exemptions are accorded to supplies made by erstwhile tax free zones.  Accordingly, the goods cleared from erstwhile tax free zones would be subjected to GST from the appointed day (01st July, 2017).",drugs
What is the effect of non-payment of consideration in respect of taxable supplies received by the recipient?,"the recipient fails to pay to the supplier the amount towards the value of supply along with tax payable thereon within a period of one hundred and eighty days from the date of issue of invoice by the supplier, the amount of input tax credit availed proportionate to the amount of consideration not paid would be added to his output tax liability along with interest thereon.  The ITC so reversed can be reclaimed by the recipient after payment of consideration along with tax payable thereon subsequently.  This provision is not applicable in respect of deemed supplies made without consideration in terms of Schedule I to the CGST Act, 2017.",drugs
Whether separate sequence numbers can be maintained for invoices issued by the Registered Person in respect of supplies made under GST?,"terms of Rule 46(b) of the CGST Rules, 2017 single or multiple series of invoices can be raised by the Registered Person for the supplies made under GST as long as such invoice numbers are unique for a financial year.",drugs
Which is the document required to be issued by the Registered Person for supply of goods from one premises to another premises under the same registration number?,"terms of Rule 55(1)(c) of the CGST Rules, 2017 such movements have to be effected under the cover of a delivery challan along with any other document that may be prescribed in lieu of the e-way bill.",drugs
Whether discounts can be claimed as an abatement from the price for assessing GST?,"terms of Section 15(3) of the CGST Act, 2017, the value of supply for charging GST shall not include any discount which is given before or at the time of the supply if such discount has been duly recorded in the invoice issued in respect of such supply. The value of supply shall also not include any discount which is given after the supply has been effected, if such discountis established in terms of an agreement entered into at or before the time of such supply and specifically linked to relevant invoices and ITC attributable to such discount has been reversed by the recipient of the supply.",drugs
What are the relevant provisions for movement of transitional goods lying at the premises of contract manufacturer on or after appointed day?,"procedure for movement of transitional goods lying at the premises of Contract Manufacturers/Loan Licencee is governed by the provisions under Section 141(1), (2) & (3) of the CGST Act, 2017.",drugs
What is Electronic Commerce?,"Commerce has been defined in Sec. 2(44) of the CGST Act, 2017 to mean the supply of goods or services or both, including digital products over digital or electronic network.",ecommerce
Who is an e-commerce operator?,"Commerce Operator has been defined in Sec. 2(45) of the CGST Act, 2017 to mean any person who owns, operates or manages digital or electronic facility or platform for electronic commerce.",ecommerce
