Question,Answer
How can actual suppliers claim credit of this TCS?,"amount of TCS paid by the operator to the government will be reflected in the GSTR-2 of the actual registered supplier (on whose account such collection has been made) on the basis of the statement filed by the operator. The same can be used at the time of discharge of tax liability in respect of the supplies made by the actual supplier. (Refer to Section 52(7) of the CGST Act, 2017.)"
Is the e-commerce operator required to submit any statement? What are the details that are required to be submitted in the statement?,"every operator is required to furnish a statement, electronically, containing the details of outward supplies of goods or services effected through it, including the supplies of goods or services returned through it, and the amount collected by it as TCS during a month within ten days after the end of such month. The statement will be filed in FORM GSTR-8. The operator is also required to file an annual statement by 31st day of December following the end of the financial year in which the tax was collected. (Refer to Section 52(4) and Section 52(5) of the CGST Act, 2017.)"
What is the concept of matching in e-commerce provisions and how it is going to work?,"details of supplies furnished by every operator in his statement for the month will be matched with the corresponding details of outward supplies furnished by the concerned supplier in his valid return for the same month or any preceding month. Where the details of outward supplies declared by the operator in his statement do not match with the corresponding details declared by the supplier, the discrepancy shall be communicated to both persons. (Refer to Section 52(8) and Section 52(9) of the CGST Act, 2017.)"
What will happen if the details remain mismatched?,"amount in respect of which any discrepancy is communicated and which is not rectified by the supplier in his valid return or the operator in his statement for the month in which discrepancy is communicated shall be added to the output liability of the said supplier in his return for the month succeeding the month in which the discrepancy is communicated. The concerned supplier in whose output tax liability any amount has been added, shall be liable to pay the tax payable in respect of such supply along with interest on the amount so added from the date such tax was due till the date of its payment. (Refer to Section 52(10) and Section 52(11) of the CGST Act, 2017.)"
Are there any powers given to tax officials under the GST Act to seek information on supply/stock details from e-commerce operators?,"Any officer not below the rank of Deputy Commissioner may issue a notice to the electronic commerce operator to furnish such details within a period of 15 working days from the date of service of such notice. (Refer to Section 52(12), (13) and (14) of the CGST Act, 2017)."
"The sellers supplying goods through e-Commerce operators (ECO) may have common places of business, especially if their goods are stored in a shared facility operated by the ECO. This will result in the same additional place of business being registered by multiple suppliers. Is this allowed?","this is allowed. Any registered person can declare a premises as a place of business if he has requisite documents for use of the premises as his place of business (like ownership document, agreement with the owner etc.) and there is no restriction about use of a premises by multiple persons. The registered person shall have to comply with the requirements of maintaining records as per section 35 of the CGST Act, 2017 and Rules 56 to 58 of the CGST Rules, 2017."
Do travel agents providing services through digital or electronic platform qualify as ECOs? Will they be required to collect tax at source as per the provisions of Section 52 of the GST Act?,"travel agents providing services through digital or electronic platform will fall under the category of ECOs liable to deduct TCS under Section 52 of the CGST Act, 2017."
There are transactions in which two or more ECOs are involved. In such cases who would deduct the TCS?,"such cases, each transaction needs to be treated separately and examined according to the provisions of Section 52 of the CGST Act, 2017. The TCS will be deducted accordingly."
"There are cases in which the ECO does not provide invoicing solution to the seller. In such cases, invoice is generated by the seller and received by the buyer without ECO getting to know about it. The payment flows through the ECO. In such cases, on what value is TCS to be collected? Can TCS be collected on the entire value of the transaction?","52(1) of the CGST Act, 2017 mandates that TCS is to be collected on the net taxable value of such supplies in respect of which the ECO collects the consideration. The amount collected should be duly reported in GSTR-8 and remitted to the Government. Any such amount collected will be available to the concerned supplier as credit in his electronic cash ledger."
"GST requires a dealer to maintain a consecutive serial number for invoices. If we are supplying from multiple locations, do we need to centrally maintain the invoice numbers serially?","46 of the CGST Rules, 2017 provides that invoice may have  ""a consecutive serial number not exceeding sixteen characters, in one or multiple series, containing alphabets or numerals or special characters hyphen or dash and slash symbolised as “-” and “/” respectively, and any combination thereof, unique for a financial year"". Therefore, a supplier can have multiple series for the same year, so long as the same series is not used across financial years. Therefore, you may have a different invoice series for each location having consecutive serial numbers running across that series."
There are sellers who are selling exempted or zero-tax goods like books through ECOs. Will marketplaces be required to collect TCS on such supplies?,"per Section 52(1) of the CGST Act, 2017 TCS is to be collected on “the net value of taxable supplies” made through an ECO. When the supply itself is not taxable, the question of TCS does not arise."
I am a supplier selling my own products through a web site hosted by me. Do I fall under the definition of an “electronic commerce operator”? Am I required to collect TCS on such supplies?,"per the definitions in Section 2 (44) and 2(45) of the CGST Act, 2017, you will come under the definition of an “electronic commerce operator”. However, according to Section 52 of the Act ibid, TCS is required to be collected on the net value of taxable supplies made through it by other suppliers where the consideration is to be collected by the ECO. In cases where someone is selling their own products through a website, there is no requirement to collect tax at source as per the provisions of this Section. These transactions will be liable to GST at the prevailing rates."
We purchase goods from different vendors and are selling them on our website under our own billing. Is TCS required to be collected on such supplies?,"According to Section 52 of the CGST Act, 2017, TCS is required to be collected on the net value of taxable supplies made through it by other suppliers where the consideration is to be collected by the ECO. In this case, there are two transactions - where you purchase the goods from the vendors, and where you sell it through your website. For the first transaction, GST is leviable, and will need to be paid to your vendor, on which credit is available for you. The second transaction is a supply on your own account, and not by other suppliers and there is no requirement to collect tax at source. The transaction will attract GST at the prevailing rates."
,
,
"If I have multiple manufacturing units in a State/UT, do I have to register all my companies separately or as a group?","shall be granted a single registration in the State/UT. However, you have the option to take separate registration for each of your business verticals (as defined in section 2(18) of the CGST Act, 2017) in the State/UT."
A registered person is sending semi-cooked food from his manufacturing unit at Gurgaon to his branch in Delhi. Is he required to pay any tax?,"accordance with the provisions of section 25(4) of the CGST Act, 2017, branches in different States are considered as distinct persons. Further, as per Schedule I, this constitutes supply made in the course or furtherance of business between distinct persons even if made without consideration. As it is an inter-State supply, the registered person is required to pay IGST."
A registered person is supplying manufactured food products to another person. Transportation charges are required to be paid by the supplier but are actually paid by the recipient. Whether this transportation charges would be added in the supply value?,"the supplier is liable to pay any amount in relation to a supply, such amount would be a part of transaction value, even if  the same has been paid by the recipient.  In this case, the transportation charges shall be added to the value of supply."
A registered person is a manufacturer of taxable food items. His factory is  in rental premises. Whether this person is eligible to claim ITC on tax charged  on the rental amount?,the person is eligible to claim ITC of tax charged on the rental amount.
Whether the supplier can reduce the tax elements against goods returned to him?,the person is eligible to reduce the tax liability by issuing credit notes to his recipient for such returned goods subject to the condition that the recipient reduces the claim of ITC to that extent if ITC was availed by him. (Credit Note must bear reference of original invoice No.)
What  will  be  the  rate  of  tax on  cold drinks (non- alcoholic beverages) and ice cream when served in non-AC Restaurant along with food ?,"rate of tax shall be 12 %. In the event of the supply being made in an AC restaurant, the rate of tax shall be 18%. If the restaurant was availing compoistion scheme (can do so only if ice cream is not manufactured by the restaurant), the rate of tax shall be 5% of the aggregate turnover."
The supplier has sold machinery for hotel industry on 28-06-2017. The purchaser has received the invoice and machinery on 05-07-2017.  Whether   ITC  of Duty / VAT  paid ( under the existing  law )  on   machinery  can  be  allowed  to  be  claimed?,"Such credit is not admissible in case of machinery, being capital goods. As   per   Section 140 ( 5 ) of the CGST Act, 2017,   credit of eligible duties and taxes in respect of only  inputs  / input  services  in transit during  transition  from Pre-GST  to  Post-GST    is  allowable. This is subject to the condition that the tax on such supply is paid under the existing law and the recipient records this receipt in his books of accounts within thirty days of the appointed day."
Is Atta / Maida/ Besan supplied in bulk  liable to tax under GST?," supply  of  these  goods  if  effected  without  registered  brand  name   is  exempt  under  GST.  However ,  if  the  outward  supply  is  made    under a registered  brand  name   and  put  up  in  unit  container  then  it  would  be  liable  to  tax  @ 5%."
"I am a whole seller of rice dealing in both branded and un-branded rice. I purchase them locally (i.e. from within the State) and also from outside the State (inter-State purchase). In the last financial year my turnover was Rs 5.5 Crore. Today, I am not registered under VAT. My questions are:-","Will I have to get myself registered now? Rice put in a unit container and bearing a registered brand name is taxable @ 5%. In accordance with the provisions of section 22 of the CGST Act, 2017 (applicable in your case), a person becomes liable to be registered in the State/UT from where he makes taxable supply of goods or services or both if his aggregate turnover (which includes value of exempt supplies as well) in a financial year exceeds Rs. 20 Lakh. Hence, liability to get registration accrues in your case from the date the aggregate turnover in the current financial year exceeds Rs. 20 lakh. "
Will I get ITC on the IGST paid on branded rice lying in stock on the date prior to the date of my liability?,"a person who takes voluntary registration is entitled to take credit of input tax in respect of inputs held in stock on the day immediately preceding the date of grant of registration. In this connection, section 18(1)(b) read with section 25(3) of the CGST Act, 2017 refers."
"Will I get ITC on CGST & SGST paid on packing materials, office stationery, computer and accounting software purchased and lying with me as stock as business assets on the date preceding the date from which I have become liable to pay tax under GST?","person who takes voluntary registration is entitled to take credit of input tax in respect of inputs held in stock and inputs contained in semi–finished or finished goods held in stock on the day immediately preceding the date of grant of registration.  Two important points being that the goods in stock must qualify as “input” and that the tax paid at the time of its purchase must qualify as “input tax” under GST.  Any goods which have been capitalised in the books of account will not be treated as an input. Hence credit on computers will not be available if the value of the same has been capitalized in the books of accounts. Further, in terms of section 18(1)(b) of the CGST Act, 2017, taxes paid on accounting software which were acquired before registration will not be available as credit since credit is not available in respect of services in such cases.  Other than that, credit shall be available on CGST/SGST paid on packing materials, etc. subject to conditions and restrictions spelt out in sections 16 to 18 of CGST Act, 2017."
When shall I start charging tax i.e. from the date I apply for registration or only after I have got my registration number?,Only from date the registration has been granted. 
Will I have to issue tax invoice for all sales that I make i.e. branded or un-branded after getting registered?,"put up in a unit container and bearing a registered brand name  is taxable @ 5%   and tax invoice has to be issued for supply of taxable goods [ Section 31(1) of the CGST Act, 2017 read with Rule 46 of the CGST Rules, 2017]. For sale of goods exempt from tax i.e. unbranded rice, a bill of supply has to be issued [ Section 31(3)(c) of the CGST Act, 2017 read with Rule 49 of the CGST Rules, 2017]."
Is it compulsory to show the tax amount separately on the face of the tax invoice?,"it is mandatory under section 33 of the CGST Act, 2017."
"I have three shops in the city, can I issue tax invoices using prefix for these different locations?","It may, however, be ensured that  the invoice  conforms to the requirements under Rule 46(b) of the CGST Rules, 2017."
Is place of supply required to be mentioned in the tax invoice for local sales also?,"Under Rule 46(b) of the CGST Rules, 2017, the place of supply along with the name of the State is required to be mentioned in case of an inter–State supply only."
"Caterpillar is a restaurant cum bar in Kolkata. It has successfully migrated to GST. While the first floor area of the restaurant is air conditioned and supplies food as well as liquor, the ground floor serves only food and is non-air-conditioned. Cater pillar wants to know,–","Whether they will charge GST @ 12% on supplies made from ground floor or 18%?Tax will have to be charged @ 18% irrespective of from where the supply is made, first floor or second floor. If any part of the establishment has a facility of air conditioning then the rate will be 18% for all supplies from the restaurant. "
,
,
"As per Chapter 53 heading 5303 of the GST rate schedule, raw jute has been kept at the NIL rate slab. Thus, it is presumed that suppliers dealing only in raw jute are not required to register themselves under GST. But Jute Mills are asking their raw jute suppliers to mandatorily register themselves else their supplies would not be accepted. Please clarify whether raw jute suppliers are liable for registration?","jute has been kept at NIL rate of GST i.e. there would be no tax on raw jute. Therefore, as per Section 23 (1)(a) of the CGST Act, 2017 the suppliers dealing only in raw jute are not required to register. "
Cotton under chapter heading 5201 and 5203 has been kept in 5% rate slab. Does this mean that cotton farmer is required to register under GST?,"As per Section 23(1)(b) of the CGST Act, 2017 an agriculturist, to the extent of supply of produce out of cultivation of land is not liable to registration."
Does the buyer of raw cotton (who is a registered person) from the farmer need to pay GST on Reverse Charge basis?,"As the cotton under heading 5201 and 5203 has been placed under 5% rate and the cotton farmer is not liable to registration, the buyers of raw cotton (who are registered persons) from the farmers are required to pay tax on reverse charge basis as per Section 9 (4) of the CGST Act, 2017."
"In respect of goods classified under Chapters 61, 62 and 63, the rate of tax for goods of sale value not exceeding Rs.1000/- is 5% and for those exceeding Rs.1000/- is 12%. Is this value transaction value or MRP?","per the rate schedule, all goods of sale value not exceeding Rs.1000/- per piece would be taxed at 5% and the goods of sale value exceeding Rs.1000/- per piece would be taxed at 12%. Therefore, it is the sale value i.e. the transaction value on which the tax has to be paid and not the MRP."
No rates have been announced for Jute bags and Jute blended bags. It is feared that they may be placed under Chapter 42 for leather wherein the rate for leather bags is indicated as 28%. It is suggested that the Jute bags may be kept at zero % to promote production of green Jute Diversified products for combating pollution and safe guarding environment?,bags made of jute are clearly specified in the rate schedule under heading 4202 22 30. The rates for Hand bags and shopping bags of jute is 18%.
"Man-made textile yarns have been kept at 18% while fabrics have been kept at 5%. If I buy yarn worth Rs. 100 by paying tax at 18% i.e. Rs. 18/- and I sell grey fabrics at Rs. 150/- considering 50% value addition by paying tax at 5% i.e. Rs. 7.50, what will be the treatment of remaining input credit of Rs. 11.50. Whether I would get refund of remaining credit and how much credit would I get?",will be eligible for full ITC of Rs. 18/- paid on your inputs i.e. yarn but whatever credit remains unutilized will remain in your electronic credit ledger and no refund of the same will be allowed. 
"We are a small saree manufacturer at Surat. We buy ready dyed fabrics and get job work, hand work, stitching etc. done to create designer sarees. Wholesalers and retailers from all over India buy these sarees on credit basis for 30 days to 240 days. I as a trader have some queries regarding implementation of GST from 1st July 2017:-
                                
(a) Whatever is sold, 15-30% is returned. What would be treatment of goods returned and how would I adjust my tax liability if the entire GST has already been paid.
(b) What would happen to my opening stock on 1st July 2017. Will I get input credit on it or do I just need to supply it after adding 5% GST on it.
(c) Is government assuring of payment within 180 days. There are rumours that the wholesaler/retailer has to pay within 180 days. Is it true?
(d) How will I make my invoices if a buyer under the composition scheme come to buy our sarees.
(e) We are confused about GST implementation as there was no tax on us before. Will we get relaxation for the return filing?

",
"
GSTR - 3B",
"
By 20th August",
"
By 20th September",
I have a manufacturing unit of Cotton trouser where customer gives me fabric and I have to convert it into trouser. What would be the rate applicable on me 5 % or 18 %?,"services provided by you fall under the category of job work by virtue of the definition of job work provided under Section 2 (68) of the CGST Act, 2017. The rate for job work in relation to trouser, which is a wearing apparel, is 18%."
"We are manufacturing Floor Coverings falling under Chapter 57. As per GST Council meeting dated 11.06.2017, the rate on Coir mats, mattings and floor coverings falling under Chapter 57 have been reduced from 12% to 5%. Kindly clarify as to whether rate of 5% will be applicable on all types of mattings and floor coverings of Chapter 57 or only to those made of coir?",rate will apply to only the specified items of coir.
"We are manufacturing laminated textile under chapter 59. Previously, our product was exempted under Notification no. 30/2004-CE. But in States we were paying 4% VAT. Also we are doing job work of textile lamination for some customers. Our invoice value is sum total of raw material used for job work, labour charges and profit. Under GST regime:-
                                
(a) Whether we will get input credit on material?
(b) How can we make invoice, which rate, or we have to make two different invoice, one for material used for lamination and other for service charges?

",
"We are in Furnishing Fabrics Industries for curtain and upholstery fabrics. We mainly deal in Woven, Knitted, Polyester and Coated fabrics.   You are requested to help us to know the chapter number under which our fabrics as mentioned herein above are covered and GST rate applicable to us?",woven fabrics are classifiable under the various headings depending upon their composition. The knitted or crocheted fabrics fall under Chapter 60. Polyester fabrics fall under Chapter 54 and 55 and Coated fabrics fall under Chapter 59.
"There is a gross confusion on the tax applicable for Embroidered Sarees and Fabric.  Typically, principal manufacturers supply fabric/Sarees to Job workers and get various embroidery designs done on the fabric/sarees. We understand that the textile jobworker would charge an output supply GST of 5% on the composite jobwork supply. This embroidery fabric/saree are then sold by the principal manufacturers to wholesale and retail sellers. What would be the output GST applicable on such embroidered fabric/sarees when the same is sold by the principal manufacturer?","rate of 5% would be chargeable on the job process relating to the textile yarns (other than Man Made Fibre/Filament) and fabrics. Sarees are treated as fabrics and a saree remains fabrics only as no new item emerges having distinct name, character and use. Stitching of two or more different kinds of fabrics also does not take away its classification. Therefore, the sarees whether embroidered or not would be taxed at the same rate at which the fabric is taxed."
Will the 5 % fabric GST be applied or 12% GST of embroidery strips / badges be applied?,strips/ badges (narrow woven fabrics) are classified under heading 5810 and chargeable to tax at 12%.
What is the difference between Fabric and Made-ups? Whether Shawl is a fabric or apparel or made-up. What is the rate on Shawls?,"fall in the category of articles of apparel and clothing accessories and are classified under heading 61.17, if knitted or crocheted and under heading 62.14, if not knitted or crocheted. The rate of tax is 5% if the sale value of shawl does not exceed Rs.1000/- per piece and the rate is 12% if the sale value exceeds Rs.1000/- per piece."
Dress material are sold by length. They can include upto 3 pieces. These can be plain or embroidered (value-addition or further worked upon). Where should dress material be classified?,"sets are classified under heading 6307 and the rate of tax on the dress materials/patterns is similar to the apparels i.e. for dress material of sale value not exceeding Rs.1000/-, tax at 5% would be charged and for dress material of sale value exceeding Rs.1000/-, tax at 12% would be charged."
"Please clarify the ITC (HS) of yarn made from worn clothing, the material composition of which varies from lot to lot. It is uncertain as the clothing may be of cotton/woollen/man made fibre?","HSN, the classification of yarn is on predominance basis. So the yarn having predominance of wool would fall under Chapter 51. If all kinds are in equal proportion i.e. no fibre is predominant, it will get classified in the chapter covering the fibre last in the numerical order, so Chapter 54 or 55 in case MMF are present."
What would be the GST rate on old cotton dhoti used for cleaning purpose? It is a used product recycled for cleaning purpose. Is there any GST on old dhoti because there is no VAT on old dhoti?,"is classifiable under Chapter 52 or Chapter 54 as fabrics. Old dhoti is classifiable under heading 63.09 as worn clothing. The tax for chapter 63 is similar to apparels and related to sale value whereas cotton fabrics/man-made fabrics, irrespective of value, are taxed at 5%. Whatever be the classification, as presumably the old cotton dhoti would be below the sale value of Rs.1000/- per piece, it would be taxed at 5%."
"We are small traders of textile dealing in Suiting, Shirting, Sarees, Dress Material, Blankets, Dhoti etc. We have some queries regarding implementation of GST from 1st July 2017:-
                                
a)  What will be the status of opening Stock of Textile items? Will 5% be added on closing stock as on 30th  June 2017?
b)  What is the GST rate in Fabrics, as there are various types of fabrics like cotton, synthetics, man-made fabrics, acrylic, Mixture of cotton and other fabrics etc. Will there be flat rate of 5% on all fabrics or different rate?
c)  Please provide clarification on HSN number. Is it mandatory to quote in invoice by B2C traders & B2B traders? Further there are various codes in one type of item, would it not create confusion among traders?
d)  As per news in CNBC, input tax credit would not be allowed in textile for some period? Please clarify.
e)  Is Rs 1000/- bracket for 18% rate applicable on Sarees and suit lengths or will it attract flat rate?

","When you make supplies out of this stock after 1st July, 2017 you will be liable to pay tax as applicable to the goods sold by you. "
"I am an un-registered trader dealing in textile fabrics which was exempted from tax under the State VAT Act. If I get registered under the GST Act, will I be eligible to avail of input tax credit on my stock of goods lying on the appointed day?","the goods you are dealing with are exempted from tax under the State Act, you will not be eligible to avail input tax credit as SGST under the SGST Act, 2017 on your stock of goods lying on the appointed day."
"I am a manufacturer of readymade garments. If I send any inputs to the job worker, will it be treated as taxable supply under the GST Act? Can I supply the goods after completion of job work from the place of business of the job worker?","can send your inputs or capital goods to a job-worker for job work without payment of tax and also bring back the same, after completion of job work, within one year or three years respectively."
,
,
How are exports treated under the GST Law?,
What will be the impact of GST on zero rating of export of goods?,
Have the procedures relating to exports by manufacturer exporters been simplified in GST regime?,
"For merchant exporters, is there any change in the Export Procedure under the GST regime?",
The supplies to a SEZ unit or SEZ developer are treated as zero rated supplies in the GST Law. Then why there is no specific mention in the GST Law about not charging of tax in respect of supplies from DTA unit to a SEZ unit or SEZ developer?,
"When a SEZ unit or SEZ developer procures any goods or services from an unregistered supplier, whether the SEZ unit or SEZ developer needs to pay IGST under reverse charge or these will be zero rated supplies?",
How soon will refund in respect of export of goods or services be granted during the GST regime? ,
Will export of goods to Nepal and Bhutan treated as zero rated and thereby qualify for all the benefits available to zero rated supplies under the GST regime? ,
What is deemed export under GST Law? Whether any supply has been categorized as deemed export by the Government?,
Whether the EOU scheme will continue to be in operation in the GST regime and whether EOU is required to take registration under the GST Law?,
What tax benefits will be available to EOU scheme in GST regime? ,
Whether supplies to or from EOU will be exempted from GST? ,
What procedure will be followed by EOU to import goods without payment of Customs duty in the GST regime?,
"Whether an EOU can clear goods to another EOU (inter-unit transfer)? And whether an EOU can send goods for carrying out job work on such goods? In such situations, how will be the tax liability be discharged? ",
M/s XYZ is engaged in export of goods only having exports of approx. Rs. 5 crores and no clearances for home consumption are affected. M/s XYZ was not required to be registered under Central Excise. Whether M/s XYZ would be required to get itself registered under GST?,
We are engaged in the manufacture of exempted excisable goods for export. We availed input stage rebate used in the manufacture of exported goods. How would our case be dealt under GST law if our supply remains an exempt supply?,
"We are merchant exporters dealing in various products. As per current procedure, we purchase goods from a particular factory against CT1/ARE1 so that no excise is levied on us. After goods are exported, we provide proof of export and Form H (for sales tax exemption) to the concerned factory. How would GST impact us and what will be the process now?",
"I have stock of inputs, semi-finished goods and finished goods on the date on which GST comes into force. But I have no duty paying documents. How am I going to be compensated for the taxes paid on the said inputs, semi-finished goods, and finished goods before GST for the exports made after GST is implemented?",
"I supply goods to SEZ units and developers. For such supplies, presently drawback is available to the recipient or to me (if recipient gives a disclaimer). What is status of such drawback under GST regime?",
Whether an EOU can clear goods in DTA?,
Will an exporter be required to pay GST in case of goods procured from unregistered persons (including unregistered job workers)? ,
Is GST payable on Agency Commission earned by buying agents of foreign buyers? ,
"Whether every registered person who intends to export requires fresh Bond/LUT even if the same was issued on or before 30 Jun, 2017 and is still live i.e. not one year old.",
"Some assessees had multiple central excise registrations under the earlier regime and were having different LUT/ Bond for each premises. In GST, there will be single registration for such assesses. Do they require furnishing fresh bond/LUT for their principal place of business or the existing Bond/LUT issued to them prior to 30.06.2017 shall be applicable for the export purpose.",
"With reference to clause 5 of Rule 96 A as inserted vides Ntf No. 15/2017 – Central Tax dated 01st July 2017 “(5) The Board, by way of notification, may specify the conditions and safeguards under which a Letter of Undertaking may be furnished in place of a bond.” It may be clarified as to whether any conditions and safeguard has been notified by the Board as on date, as certain parties have filed LUT for export in this office",
"In case of export of services, who will pay the service tax as for Bhutan, Nepal and Bangladesh?",
Will GST be debited in duty credit scrips such as Merchandise Exports from India Scheme (MEIS) and Service Exports from India Scheme (SEIS)?,
"In view of definition of ‘export of goods’ given in Section 2(5) of the IGST Act, 2017, the supply of goods by the manufacturer to merchant exporter  cannot be treated as exports as he is not taking out the goods out of India. He is supplying the goods to the merchant-exporter. Therefore, is the manufacturer required to pay CGST and SGST in all cases of exports by merchant-exporter even though the goods are being sealed in container for export from the premises of manufacturer-exporter? Does the merchant-exporter have the option either to avail option of Bond/LUT or to pay IGST for export of such goods?",
"As per Rule 96A of Central Tax, the LUT is to be accepted by the Jurisdictional Commissioner, Udaipur whereas in pre GST era the same was accepted by the jurisdictional Deputy/Assistant Commissioner Kota. The Commissioner of Kota region has office at Udaipur which is 290 Kilometers away from Kota due to which it is impractical to file LUT at Udaipur with Commissioner as compared to previous procedure.",
"As per sub-rule 5 of rule 96A of Central Tax Rule, Board will notify where LUT is to be furnished in place of Bond. Since Board has not notified so far, therefore, this office is of the view that Bond is to be furnished in all cases as of now. Please clarify",
"Whether in case of assesses exporting goods under LUT in Central Excise Act 1944, can export goods after 01.07.2017 under GST on the basis of the said LUT filed under Central Excise Act, 1944 until that LUT expires.",
"There is lack of clarity in the trade regarding the eligibility conditions for the LUT/Bond as per the Notification No. 16/2017 – Central Tax.  Para i(b) of the said notification requires the exporter to receive the due foreign inward remittances amounting to a minimum 10%  of the export turnover, which should not be less than one crore rupees, in the preceding financial year. It is not clear for the exporters having an export turnover of say Rs. 5 Crore. For such people whose 10% of the export turnover is below one crore, what is the implication? Are those exporters who have received their total due inward remittance of e.g. Rs. 5 Crore eligible for availing the facility of LUT?",
,
"Will duty Drawback scheme continue under GST regime? If yes, what will be the rates of Drawback?",
Is Drawback at a higher All Industry Rate (AIR) admissible if an exporter has not availed Input Tax Credit of GST or refund of IGST paid on exported goods ?,
"If an exporter has stock of GST paid inputs as well as inputs from pre-GST period and if inputs from both lots are used in export goods, what shall be Drawback on such exports?",
"Will brand rate of Drawback be admissible for Central Excise duty and Service Tax in respect of exports made prior to GST implementation, for which application is filed after 1st July 2017? ",
"Applications for fixation of brand rate used to be filed with jurisdictional Commissioner of Central Excise having jurisdiction over the factory where export goods were manufactured. Under GST regime, will there be any change regarding filing of application for fixation of brand rate? ",
Is there also a change under the GST regime in respect of filing of application for fixation of brand rate of Drawback for supplies to SEZ units and SEZ Developers? ,
"On re-export of imported goods, drawback of all duties paid at the time of importation was admissible earlier, as per the rates prescribed in this regard. What will be the position in respect of re-export made after 1st July 2017, of the goods imported prior to 1st July 2017? After 1st July 2017, IGST and Compensation Cess will also be payable on the imported goods. If such imported goods on which IGST and Compensation Cess were paid, are re-exported, whether Drawback of IGST and Compensation Cess will also be granted?",
"Under the GST regime, will benefit of exemption from all duties available under Advance authorization scheme, EPCG scheme and duty credit scrips such as Merchandise Exports from India Scheme (MEIS) & Service Exports from India Scheme (SEIS) will continue?",
"Under GST regime, can we get duty free benefit (all duties exempted) if we import capital goods using EPCG authorization?",
Can duty credit scrips such as Merchandise Exports from India Scheme (MEIS) and Service Exports from India Scheme (SEIS) be used for payment of GST? ,
What will be exemptions available for various authorizations/scrips which have been issued prior to 1.7.2017 and remain unutilized on 1.7.2017? ,
,
,
What is GST?,
On what supply is GST levied?,
Will GST be levied on all goods or services or both?,
How many types of GST will be levied on different kinds of supply of goods or services? ,
"Whether a registered person will have to approach two authorities - Centre as well as State for various permissions, audit etc. under the Act?",
What is destination based consumption tax?,
Who will pay GST?,
What is Input Tax Credit?,
Is GST going to increase compliance burden on the trade?,
What is the threshold for registration in GST?,
Is an agriculturist liable to registration?,
What is the most important precaution to be taken to avail the facility of threshold exemption?,
I am engaged exclusively in the business of supplying goods or services which are exempt from GST. Am I liable for registration?,
"How do I make supply, if I have not applied for registration?",
How can an application for fresh registration be made under GST? Within what time will registration be granted? ,
I was registered under VAT but not under Central Excise. Do I need to apply for new registration?,
"If I have obtained provisional GSTIN (PID), can I use the same on the invoice to make supply without waiting for final GSTIN?",
"I am a SME selling printed books after printing and have a turnover of twenty-five lakhs rupees per annum. I print only Children’s picture, drawing or colouring books which are exempt from GST.  Do I need to register? ",
"If I register voluntarily though my turnover is less than Rs. 20 lakhs, am I required to pay tax on supplies made post registration?",
How will taxpayer get the certificate of registration?,
Can registration particulars once furnished be amended?,
In which State will a person be registered?,
Are all manufacturers necessarily required to be registered under GST?,
Who is liable to issue a ‘tax invoice’ and how many copies are required to be issued?,
What details are to be contained in a ‘tax invoice’?,
Is it necessary to issue invoices even if the value of transaction  is very low?,
When should a tax invoice be issued for goods? ,
"In case of supply of exempt goods or when tax is paid under Composition Scheme, is the registered person required to issue a tax invoice? How a bill of supply is different from a tax invoice?",
"If goods are transported in semi-knocked down condition, when shall the complete invoice be issued?",
Is there any scheme for payment of taxes under GST for small traders and manufacturers?,
What is the eligibility criteria for opting for composition levy? Which are the Special Category States in which the turnover limit for Composition Levy for CGST and SGST purpose shall be Rs. 50 lakhs?,
What is the form in which an intimation to pay tax under the composition scheme needs to be made by the taxable person?,
What is the rate of tax under Composition levy for a manufacturer?,
Are all manufacturers eligible for composition scheme?,
"
Tariff Head",
"
2105 00 00",
"
2106 90 20",
"
24",
When will a registered person have to pay tax?,
"A person availing composition scheme during a financial year crosses the turnover of Rs. 75 Lakhs / Rs. 50 Lakhs during the course of the year i.e. say, he crosses the turnover of Rs. 75 Lakhs/Rs.  50 Lakhs in December?  Will he be allowed to pay tax under composition scheme for the remainder of the year i.e. till 31st  March?",
For the purpose of availing composition how will aggregate turnover be computed for the purpose of composition?,
Can a person who has opted to pay tax under the composition scheme avail Input Tax Credit on his inward supplies?,
"How is a manufacturer under the composition scheme required to bill his supply? Can a registered person, who purchases goods from a composition manufacturer take input tax credit?",
How would a manufacturer under the composition scheme who receives inputs or input services from an unregistered person pay GST? What will be the tax rate if the purchase is from a person availing composition? ,
"In case a person has registration in multiple States, can he opt for payment of tax under composition levy only in one State and not in other States?",
What is the effective date of composition levy?,
,
,
,
,
What is the validity of composition levy?,
What are the other compliances which a provisionally registered person opting to pay tax under the composition levy need to make?,
"Can a person paying tax under composition levy, withdraw voluntarily from the scheme? ",
Will withdrawal intimation in any one place be applicable to all places of business?,
Can a person paying tax under composition scheme make exports or supply goods to SEZ?,
Can a manufacturer under composition scheme do job-work for other manufacturers?,
How can tax payments be made by a registered person under the composition scheme?,
Does a registered person under the composition scheme pay his taxes every month? ,
What are the accounts a manufacturer under the composition scheme needs to maintain ?  ,
Does a manufacturer under the composition scheme need to maintain details of accounts of every supply received and made?  ,
Does a manufacturer under the composition scheme needs to maintain account of inputs tax credit? ,
Can a manufacturer under the composition scheme maintain his accounts manually? And can he issue his bill of supply manually? ,
Whether a registered person under the composition scheme needs to learn HSN code of any input purchases and output supplies? ,
What return a registered person under the composition scheme needs to file and at what frequency?,
